ID,Date,Zone,Lat,Long,Meter Number,Reason for Over Abstraction,HouseHolds,Type of Housing,Main Pipe Length,Daily Abstraction Avg,Water Kiosks,Car Wash and Hotels,Schools,Churches,Farming,Over Abstraction
12,15/02/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,115,single family units,960,86.25,0,0,0,0,4,3
11,15/02/2018,mirema,0.747003,36.452739,WT11-6-08-07022,LK_3,69,single family units,1230,51.75,0,0,0,0,4,2
9,16/02/2018,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Mt_Pb,69,one bedroomed plus,2600,51.75,2,2,0,0,1,2
1,16/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,3
5,21/02/2018,Upper Kayole,0.752542,36.471314,WT11-6''-97-3753,LK_3,123,mixed rentals and homes,1650,92.25,1,3,1,3,4,3
11,21/02/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
1,21/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
1,22/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,LK_3,69,single family units,3480,51.75,2,1,0,2,3,8
1,23/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
7,26/02/2018,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,Illegal_Abs,45,single units rentals,3775,33.75,0,0,1,5,1,5
12,26/02/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,125,single family units,960,93.75,0,0,0,0,4,3
1,26/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
12,26/02/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_2,115,single family units,960,86.25,0,0,0,0,4,2
1,27/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
6,27/02/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,2
12,27/02/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,115,single family units,960,86.25,0,0,0,0,4,2
1,28/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
1,22/02/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
12,23/02/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Illegal_Abs,125,single family units,960,93.75,0,0,0,0,4,2
1,5/3/2018,park view,0.744511,36.462356,WT-4''-96-4997,Other_Acts,69,single family units,3480,51.75,2,1,0,2,3,2
6,5/3/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Mt_Pb,138,single units rentals,1604,103.5,2,0,1,2,1,2
4,6/3/2018,Upper Kayole,0.748353,36.466414,WT11-06''-12842,Illegal_Abs,118,mixed rental storied (2 bedroomed plus) and family units,1750,88.5,0,0,0,0,3,3
6,6/3/2018,Lower Kayole,0.745297,36.461339,WT11-6''-06-12840,Illegal_Abs,138,single units rentals,1604,103.5,2,0,1,2,1,3
4,6/3/2018,Upper Kayole,0.748353,36.466414,WT11-06''-12842,LK_3,118,mixed rental storied (2 bedroomed plus) and family units,1750,88.5,0,0,0,0,3,112
